pump_combination                                                                                  , target_q, prevalence, power , pump      , speed , q  , pump_power
"{""grundfos_3"": 2297.0}"                                                                        ,        8,      64.02,  16.74, grundfos_3, 2297.0,   8,      16.74
"{""grundfos_3"": 2321.0}"                                                                        ,       41,      64.01,  19.75, grundfos_3, 2321.0,  41,      19.75
"{""grundfos_1"": 2345.0}"                                                                        ,       69,      64.03,  23.42, grundfos_1, 2345.0,  69,      23.42
"{""grundfos_1"": 2347.0}"                                                                        ,       71,      64.02,  23.71, grundfos_1, 2347.0,  71,      23.71
{}                                                                                                ,      270,           ,       ,           ,       ,    ,        
"{""grundfos_1"": 2355.0}"                                                                        ,       78,      64.04,  24.78, grundfos_1, 2355.0,  78,      24.78
"{""grundfos_3"": 2308.0}"                                                                        ,       23,      64.01,  17.93, grundfos_3, 2308.0,  23,      17.93
"{""grundfos_1"": 2408.0}"                                                                        ,      113,      64.05,  30.51, grundfos_1, 2408.0, 113,      30.51
"{""grundfos_1"": 2878.0}"                                                                        ,      249,      64.0 ,  61.01, grundfos_1, 2878.0, 249,      61.01
"{""grundfos_1"": 2421.0}"                                                                        ,      120,      64.0 ,  31.69, grundfos_1, 2421.0, 120,      31.69
"{""grundfos_1"": 2363.0}"                                                                        ,       85,      64.01,  25.85, grundfos_1, 2363.0,  85,      25.85
"{""grundfos_1"": 2535.0}"                                                                        ,      164,      64.0 ,  39.89, grundfos_1, 2535.0, 164,      39.89
"{""grundfos_3"": 2291.0}"                                                                        ,        1,      64.02,  16.24, grundfos_3, 2291.0,   1,      16.24
"{""grundfos_1"": 2551.0}"                                                                        ,      169,      64.01,  40.91, grundfos_1, 2551.0, 169,      40.91
"{""grundfos_3"": 2298.0}"                                                                        ,        9,      64.03,  16.82, grundfos_3, 2298.0,   9,      16.82
{}                                                                                                ,      276,           ,       ,           ,       ,    ,        
"{""grundfos_1"": 2362.0}"                                                                        ,       84,      64.02,  25.7 , grundfos_1, 2362.0,  84,      25.7
"{""grundfos_3"": 2315.0}"                                                                        ,       32,      64.04,  18.8 , grundfos_3, 2315.0,  32,      18.8
"{""grundfos_1"": 2380.0}"                                                                        ,       97,      64.01,  27.79, grundfos_1, 2380.0,  97,      27.79
"{""grundfos_3"": 2323.0}"                                                                        ,       43,      64.04,  19.99, grundfos_3, 2323.0,  43,      19.99
"{""grundfos_1"": 2338.0}"                                                                        ,       62,      64.01,  22.41, grundfos_1, 2338.0,  62,      22.41
"{""grundfos_1"": 2812.0}"                                                                        ,      235,      64.02,  56.91, grundfos_1, 2812.0, 235,      56.91
{}                                                                                                ,      278,           ,       ,           ,       ,    ,        
"{""grundfos_3"": 2301.0}"                                                                        ,       13,      64.03,  17.12, grundfos_3, 2301.0,  13,      17.12
"{""grundfos_1"": 2386.0}"                                                                        ,      101,      64.0 ,  28.45, grundfos_1, 2386.0, 101,      28.45
"{""grundfos_1"": 2441.0}"                                                                        ,      129,      64.03,  33.3 , grundfos_1, 2441.0, 129,      33.3
"{""grundfos_1"": 2963.0}"                                                                        ,      266,      64.0 ,  66.38, grundfos_1, 2963.0, 266,      66.38
"{""grundfos_1"": 2450.0}"                                                                        ,      133,      64.01,  34.01, grundfos_1, 2450.0, 133,      34.01
"{""grundfos_1"": 2348.0}"                                                                        ,       72,      64.02,  23.86, grundfos_1, 2348.0,  72,      23.86
"{""grundfos_1"": 2385.0}"                                                                        ,      100,      64.03,  28.3 , grundfos_1, 2385.0, 100,      28.3
"{""grundfos_3"": 2323.0}"                                                                        ,       44,      64.0 ,  20.09, grundfos_3, 2323.0,  44,      20.09
"{""grundfos_3"": 2292.0}"                                                                        ,        2,      64.02,  16.31, grundfos_3, 2292.0,   2,      16.31
"{""grundfos_1"": 2337.0}"                                                                        ,       61,      64.01,  22.27, grundfos_1, 2337.0,  61,      22.27
"{""grundfos_1"": 2639.0}"                                                                        ,      194,      64.01,  46.35, grundfos_1, 2639.0, 194,      46.35
"{""grundfos_3"": 2316.0}"                                                                        ,       34,      64.02,  18.99, grundfos_3, 2316.0,  34,      18.99
"{""grundfos_3"": 2313.0}"                                                                        ,       29,      64.05,  18.51, grundfos_3, 2313.0,  29,      18.51
"{""grundfos_1"": 2948.0}"                                                                        ,      263,      64.03,  65.43, grundfos_1, 2948.0, 263,      65.43
"{""grundfos_1"": 2448.0}"                                                                        ,      132,      64.04,  33.84, grundfos_1, 2448.0, 132,      33.84
"{""grundfos_1"": 2938.0}"                                                                        ,      261,      64.04,  64.79, grundfos_1, 2938.0, 261,      64.79
"{""grundfos_1"": 2602.0}"                                                                        ,      184,      64.0 ,  44.09, grundfos_1, 2602.0, 184,      44.09
"{""grundfos_1"": 2371.0}"                                                                        ,       91,      64.0 ,  26.81, grundfos_1, 2371.0,  91,      26.81
"{""grundfos_3"": 2318.0}"                                                                        ,       36,      64.05,  19.22, grundfos_3, 2318.0,  36,      19.22
"{""grundfos_3"": 2295.0}"                                                                        ,        5,      64.05,  16.53, grundfos_3, 2295.0,   5,      16.53
"{""grundfos_1"": 2703.0}"                                                                        ,      210,      64.05,  50.24, grundfos_1, 2703.0, 210,      50.24
"{""grundfos_3"": 2320.0}"                                                                        ,       40,      64.0 ,  19.63, grundfos_3, 2320.0,  40,      19.63
"{""grundfos_1"": 2780.0}"                                                                        ,      228,      64.01,  54.94, grundfos_1, 2780.0, 228,      54.94
"{""grundfos_1"": 2651.0}"                                                                        ,      197,      64.04,  47.08, grundfos_1, 2651.0, 197,      47.08
"{""grundfos_3"": 2295.0}"                                                                        ,        6,      64.0 ,  16.59, grundfos_3, 2295.0,   6,      16.59
"{""grundfos_3"": 2326.0}"                                                                        ,       47,      64.04,  20.47, grundfos_3, 2326.0,  47,      20.47
"{""grundfos_1"": 2831.0}"                                                                        ,      239,      64.05,  58.08, grundfos_1, 2831.0, 239,      58.08
"{""grundfos_3"": 2307.0}"                                                                        ,       21,      64.03,  17.77, grundfos_3, 2307.0,  21,      17.77
"{""grundfos_1"": 2913.0}"                                                                        ,      256,      64.05,  63.21, grundfos_1, 2913.0, 256,      63.21
"{""grundfos_1"": 2445.0}"                                                                        ,      131,      64.0 ,  33.64, grundfos_1, 2445.0, 131,      33.64
"{""grundfos_1"": 2859.0}"                                                                        ,      245,      64.02,  59.82, grundfos_1, 2859.0, 245,      59.82
"{""grundfos_1"": 2350.0}"                                                                        ,       74,      64.01,  24.15, grundfos_1, 2350.0,  74,      24.15
"{""grundfos_3"": 2325.0}"                                                                        ,       46,      64.03,  20.34, grundfos_3, 2325.0,  46,      20.34
"{""grundfos_3"": 2304.0}"                                                                        ,       17,      64.03,  17.43, grundfos_3, 2304.0,  17,      17.43
"{""grundfos_3"": 2308.0}"                                                                        ,       22,      64.05,  17.86, grundfos_3, 2308.0,  22,      17.86
"{""grundfos_1"": 2548.0}"                                                                        ,      168,      64.02,  40.71, grundfos_1, 2548.0, 168,      40.71
"{""grundfos_3"": 2309.0}"                                                                        ,       24,      64.02,  18.03, grundfos_3, 2309.0,  24,      18.03
"{""grundfos_1"": 2578.0}"                                                                        ,      177,      64.03,  42.59, grundfos_1, 2578.0, 177,      42.59
"{""grundfos_1"": 2776.0}"                                                                        ,      227,      64.04,  54.69, grundfos_1, 2776.0, 227,      54.69
"{""grundfos_1"": 2686.0}"                                                                        ,      206,      64.0 ,  49.21, grundfos_1, 2686.0, 206,      49.21
"{""grundfos_1"": 2592.0}"                                                                        ,      181,      64.04,  43.46, grundfos_1, 2592.0, 181,      43.46
"{""grundfos_3"": 2329.0}"                                                                        ,       51,      64.03,  20.96, grundfos_3, 2329.0,  51,      20.96
