pump_combination                                                                                  , target_q, prevalence, power , pump      , speed , q  , pump_power
"{""grundfos_1"": 2311.0, ""grundfos_3"": 2313.0}"                                                ,       80,      64.01,  54.82, grundfos_3, 2308.0,  23,      17.93
"{""grundfos_1"": 2311.0, ""grundfos_3"": 2313.0}"                                                ,       80,      64.01,  54.82, grundfos_3, 2313.0,  30,      18.59
"{""grundfos_1"": 2532.0, ""grundfos_2"": 2532.0, ""grundfos_3"": 2532.0}"                        ,      489,      64.01, 119.07, grundfos_1, 2532.0, 163,      39.69
"{""grundfos_1"": 2532.0, ""grundfos_2"": 2532.0, ""grundfos_3"": 2532.0}"                        ,      489,      64.01, 119.07, grundfos_2, 2532.0, 163,      39.69
"{""grundfos_1"": 2532.0, ""grundfos_2"": 2532.0, ""grundfos_3"": 2532.0}"                        ,      489,      64.01, 119.07, grundfos_3, 2532.0, 163,      39.69
"{""grundfos_0"": 2632.0, ""grundfos_1"": 2632.0, ""grundfos_3"": 2632.0}"                        ,      576,      64.04, 137.76, grundfos_0, 2632.0, 192,      45.92
"{""grundfos_0"": 2632.0, ""grundfos_1"": 2632.0, ""grundfos_3"": 2632.0}"                        ,      576,      64.04, 137.76, grundfos_1, 2632.0, 192,      45.92
"{""grundfos_0"": 2632.0, ""grundfos_1"": 2632.0, ""grundfos_3"": 2632.0}"                        ,      576,      64.04, 137.76, grundfos_3, 2632.0, 192,      45.92
"{""grundfos_1"": 2678.0, ""grundfos_3"": 2678.0}"                                                ,      598,      64.01, 142.88, grundfos_1, 2624.0, 190,      45.44
"{""grundfos_1"": 2678.0, ""grundfos_3"": 2678.0}"                                                ,      598,      64.01, 142.88, grundfos_1, 2678.0, 204,      48.72
"{""grundfos_1"": 2678.0, ""grundfos_3"": 2678.0}"                                                ,      598,      64.01, 142.88, grundfos_3, 2678.0, 204,      48.72
"{""grundfos_1"": 2457.0, ""grundfos_2"": 2457.0, ""grundfos_3"": 2457.0}"                        ,      408,      64.0 , 103.62, grundfos_1, 2457.0, 136,      34.54
"{""grundfos_1"": 2457.0, ""grundfos_2"": 2457.0, ""grundfos_3"": 2457.0}"                        ,      408,      64.0 , 103.62, grundfos_2, 2457.0, 136,      34.54
"{""grundfos_1"": 2457.0, ""grundfos_2"": 2457.0, ""grundfos_3"": 2457.0}"                        ,      408,      64.0 , 103.62, grundfos_3, 2457.0, 136,      34.54
"{""grundfos_2"": 2678.0, ""grundfos_3"": 2613.0}"                                                ,      581,      64.01, 138.92, grundfos_2, 2624.0, 190,      45.44
"{""grundfos_2"": 2678.0, ""grundfos_3"": 2613.0}"                                                ,      581,      64.01, 138.92, grundfos_2, 2678.0, 204,      48.72
"{""grundfos_2"": 2678.0, ""grundfos_3"": 2613.0}"                                                ,      581,      64.01, 138.92, grundfos_3, 2613.0, 187,      44.76
"{""grundfos_0"": 2371.0, ""grundfos_1"": 2391.0, ""grundfos_3"": 2386.0}"                        ,      296,      64.0 ,  84.21, grundfos_0, 2371.0,  91,      26.81
"{""grundfos_0"": 2371.0, ""grundfos_1"": 2391.0, ""grundfos_3"": 2386.0}"                        ,      296,      64.0 ,  84.21, grundfos_1, 2391.0, 104,      28.95
"{""grundfos_0"": 2371.0, ""grundfos_1"": 2391.0, ""grundfos_3"": 2386.0}"                        ,      296,      64.0 ,  84.21, grundfos_3, 2386.0, 101,      28.45
"{""grundfos_0"": 2318.0, ""grundfos_1"": 2321.0, ""grundfos_2"": 2318.0}"                        ,      115,      64.01,  58.37, grundfos_0, 2318.0,  37,      19.31
"{""grundfos_0"": 2318.0, ""grundfos_1"": 2321.0, ""grundfos_2"": 2318.0}"                        ,      115,      64.01,  58.37, grundfos_1, 2321.0,  41,      19.75
"{""grundfos_0"": 2318.0, ""grundfos_1"": 2321.0, ""grundfos_2"": 2318.0}"                        ,      115,      64.01,  58.37, grundfos_2, 2318.0,  37,      19.31
"{""grundfos_0"": 2380.0, ""grundfos_1"": 2383.0, ""grundfos_2"": 2383.0}"                        ,      295,      64.01,  84.03, grundfos_0, 2380.0,  97,      27.79
"{""grundfos_0"": 2380.0, ""grundfos_1"": 2383.0, ""grundfos_2"": 2383.0}"                        ,      295,      64.01,  84.03, grundfos_1, 2383.0,  99,      28.12
"{""grundfos_0"": 2380.0, ""grundfos_1"": 2383.0, ""grundfos_2"": 2383.0}"                        ,      295,      64.01,  84.03, grundfos_2, 2383.0,  99,      28.12
"{""grundfos_1"": 2331.0, ""grundfos_2"": 2337.0, ""grundfos_3"": 2337.0}"                        ,      176,      64.01,  65.88, grundfos_1, 2331.0,  54,      21.34
"{""grundfos_1"": 2331.0, ""grundfos_2"": 2337.0, ""grundfos_3"": 2337.0}"                        ,      176,      64.01,  65.88, grundfos_2, 2337.0,  61,      22.27
"{""grundfos_1"": 2331.0, ""grundfos_2"": 2337.0, ""grundfos_3"": 2337.0}"                        ,      176,      64.01,  65.88, grundfos_3, 2337.0,  61,      22.27
{}                                                                                                ,      805,           ,       ,           ,       ,    ,        
"{""grundfos_0"": 2741.0}"                                                                        ,      429,      64.05, 102.79, grundfos_0, 2703.0, 210,      50.24
"{""grundfos_0"": 2741.0}"                                                                        ,      429,      64.05, 102.79, grundfos_0, 2741.0, 219,      52.55
"{""grundfos_0"": 2812.0, ""grundfos_2"": 2812.0}"                                                ,      470,      64.02, 113.82, grundfos_0, 2812.0, 235,      56.91
"{""grundfos_0"": 2812.0, ""grundfos_2"": 2812.0}"                                                ,      470,      64.02, 113.82, grundfos_2, 2812.0, 235,      56.91
"{""grundfos_0"": 2367.0, ""grundfos_2"": 2367.0}"                                                ,      176,      64.01,  52.66, grundfos_0, 2367.0,  88,      26.33
"{""grundfos_0"": 2367.0, ""grundfos_2"": 2367.0}"                                                ,      176,      64.01,  52.66, grundfos_2, 2367.0,  88,      26.33
"{""grundfos_1"": 2332.0, ""grundfos_2"": 2332.0}"                                                ,      110,      64.02,  42.94, grundfos_1, 2332.0,  55,      21.47
"{""grundfos_1"": 2332.0, ""grundfos_2"": 2332.0}"                                                ,      110,      64.02,  42.94, grundfos_2, 2332.0,  55,      21.47
"{""grundfos_0"": 2785.0, ""grundfos_1"": 2754.0}"                                                ,      451,      64.05, 108.6 , grundfos_0, 2785.0, 229,      55.25
"{""grundfos_0"": 2785.0, ""grundfos_1"": 2754.0}"                                                ,      451,      64.05, 108.6 , grundfos_1, 2754.0, 222,      53.35
"{""grundfos_0"": 2467.0, ""grundfos_3"": 2480.0}"                                                ,      285,      64.0 ,  71.48, grundfos_0, 2467.0, 140,      35.28
"{""grundfos_0"": 2467.0, ""grundfos_3"": 2480.0}"                                                ,      285,      64.0 ,  71.48, grundfos_3, 2480.0, 145,      36.2
"{""grundfos_1"": 2875.0}"                                                                        ,      491,      64.14, 120.14, grundfos_1, 2851.0, 243,      59.32
"{""grundfos_1"": 2875.0}"                                                                        ,      491,      64.14, 120.14, grundfos_1, 2875.0, 248,      60.82
"{""grundfos_1"": 2879.0, ""grundfos_3"": 2855.0}"                                                ,      493,      64.08, 120.64, grundfos_1, 2879.0, 249,      61.07
"{""grundfos_1"": 2879.0, ""grundfos_3"": 2855.0}"                                                ,      493,      64.08, 120.64, grundfos_3, 2855.0, 244,      59.57
"{""grundfos_1"": 2678.0}"                                                                        ,      394,      64.01,  94.16, grundfos_1, 2624.0, 190,      45.44
"{""grundfos_1"": 2678.0}"                                                                        ,      394,      64.01,  94.16, grundfos_1, 2678.0, 204,      48.72
"{""grundfos_1"": 2346.0, ""grundfos_2"": 2377.0}"                                                ,      165,      64.02,  51.04, grundfos_1, 2346.0,  70,      23.57
"{""grundfos_1"": 2346.0, ""grundfos_2"": 2377.0}"                                                ,      165,      64.02,  51.04, grundfos_2, 2377.0,  95,      27.47
"{""grundfos_1"": 2334.0, ""grundfos_2"": 2334.0, ""grundfos_3"": 2334.0}"                        ,      171,      64.04,  65.22, grundfos_1, 2334.0,  57,      21.74
"{""grundfos_1"": 2334.0, ""grundfos_2"": 2334.0, ""grundfos_3"": 2334.0}"                        ,      171,      64.04,  65.22, grundfos_2, 2334.0,  57,      21.74
"{""grundfos_1"": 2334.0, ""grundfos_2"": 2334.0, ""grundfos_3"": 2334.0}"                        ,      171,      64.04,  65.22, grundfos_3, 2334.0,  57,      21.74
"{""grundfos_0"": 2340.0, ""grundfos_1"": 2341.0, ""grundfos_3"": 2340.0}"                        ,      193,      64.02,  68.24, grundfos_0, 2340.0,  64,      22.7
"{""grundfos_0"": 2340.0, ""grundfos_1"": 2341.0, ""grundfos_3"": 2340.0}"                        ,      193,      64.02,  68.24, grundfos_1, 2341.0,  65,      22.84
"{""grundfos_0"": 2340.0, ""grundfos_1"": 2341.0, ""grundfos_3"": 2340.0}"                        ,      193,      64.02,  68.24, grundfos_3, 2340.0,  64,      22.7
"{""grundfos_1"": 2358.0, ""grundfos_3"": 2383.0}"                                                ,      268,      64.01,  79.67, grundfos_1, 2358.0,  81,      25.22
"{""grundfos_1"": 2358.0, ""grundfos_3"": 2383.0}"                                                ,      268,      64.01,  79.67, grundfos_3, 2367.0,  88,      26.33
"{""grundfos_1"": 2358.0, ""grundfos_3"": 2383.0}"                                                ,      268,      64.01,  79.67, grundfos_3, 2383.0,  99,      28.12
"{""grundfos_1"": 2686.0}"                                                                        ,      590,      64.0 , 141.05, grundfos_1, 2602.0, 184,      44.09
"{""grundfos_1"": 2686.0}"                                                                        ,      590,      64.0 , 141.05, grundfos_1, 2662.0, 200,      47.75
"{""grundfos_1"": 2686.0}"                                                                        ,      590,      64.0 , 141.05, grundfos_1, 2686.0, 206,      49.21
"{""grundfos_0"": 2908.0, ""grundfos_1"": 2903.0, ""grundfos_2"": 2908.0}"                        ,      764,      64.04, 188.36, grundfos_0, 2908.0, 255,      62.89
"{""grundfos_0"": 2908.0, ""grundfos_1"": 2903.0, ""grundfos_2"": 2908.0}"                        ,      764,      64.04, 188.36, grundfos_1, 2903.0, 254,      62.58
"{""grundfos_0"": 2908.0, ""grundfos_1"": 2903.0, ""grundfos_2"": 2908.0}"                        ,      764,      64.04, 188.36, grundfos_2, 2908.0, 255,      62.89
"{""grundfos_0"": 2411.0, ""grundfos_2"": 2391.0, ""grundfos_3"": 2423.0}"                        ,      340,      64.0 ,  91.63, grundfos_0, 2411.0, 115,      30.82
"{""grundfos_0"": 2411.0, ""grundfos_2"": 2391.0, ""grundfos_3"": 2423.0}"                        ,      340,      64.0 ,  91.63, grundfos_2, 2391.0, 104,      28.95
"{""grundfos_0"": 2411.0, ""grundfos_2"": 2391.0, ""grundfos_3"": 2423.0}"                        ,      340,      64.0 ,  91.63, grundfos_3, 2423.0, 121,      31.86
"{""grundfos_1"": 2943.0, ""grundfos_2"": 2943.0, ""grundfos_3"": 2943.0}"                        ,      786,      64.04, 195.33, grundfos_1, 2943.0, 262,      65.11
"{""grundfos_1"": 2943.0, ""grundfos_2"": 2943.0, ""grundfos_3"": 2943.0}"                        ,      786,      64.04, 195.33, grundfos_2, 2943.0, 262,      65.11
"{""grundfos_1"": 2943.0, ""grundfos_2"": 2943.0, ""grundfos_3"": 2943.0}"                        ,      786,      64.04, 195.33, grundfos_3, 2943.0, 262,      65.11
"{""grundfos_2"": 2319.0, ""grundfos_3"": 2314.0}"                                                ,      100,      64.02,  56.8 , grundfos_2, 2314.0,  31,      18.69
"{""grundfos_2"": 2319.0, ""grundfos_3"": 2314.0}"                                                ,      100,      64.02,  56.8 , grundfos_2, 2319.0,  38,      19.42
"{""grundfos_2"": 2319.0, ""grundfos_3"": 2314.0}"                                                ,      100,      64.02,  56.8 , grundfos_3, 2314.0,  31,      18.69
"{""grundfos_1"": 2514.0, ""grundfos_3"": 2494.0}"                                                ,      457,      64.02, 112.83, grundfos_1, 2494.0, 150,      37.16
"{""grundfos_1"": 2514.0, ""grundfos_3"": 2494.0}"                                                ,      457,      64.02, 112.83, grundfos_1, 2514.0, 157,      38.51
"{""grundfos_1"": 2514.0, ""grundfos_3"": 2494.0}"                                                ,      457,      64.02, 112.83, grundfos_3, 2494.0, 150,      37.16
"{""grundfos_0"": 2948.0, ""grundfos_1"": 2948.0, ""grundfos_3"": 2948.0}"                        ,      789,      64.03, 196.29, grundfos_0, 2948.0, 263,      65.43
"{""grundfos_0"": 2948.0, ""grundfos_1"": 2948.0, ""grundfos_3"": 2948.0}"                        ,      789,      64.03, 196.29, grundfos_1, 2948.0, 263,      65.43
"{""grundfos_0"": 2948.0, ""grundfos_1"": 2948.0, ""grundfos_3"": 2948.0}"                        ,      789,      64.03, 196.29, grundfos_3, 2948.0, 263,      65.43
"{""grundfos_0"": 2332.0, ""grundfos_1"": 2332.0, ""grundfos_2"": 2332.0}"                        ,      165,      64.02,  64.41, grundfos_0, 2332.0,  55,      21.47
"{""grundfos_0"": 2332.0, ""grundfos_1"": 2332.0, ""grundfos_2"": 2332.0}"                        ,      165,      64.02,  64.41, grundfos_1, 2332.0,  55,      21.47
"{""grundfos_0"": 2332.0, ""grundfos_1"": 2332.0, ""grundfos_2"": 2332.0}"                        ,      165,      64.02,  64.41, grundfos_2, 2332.0,  55,      21.47
{}                                                                                                ,      837,           ,       ,           ,       ,    ,        
"{""grundfos_0"": 2475.0, ""grundfos_1"": 2520.0}"                                                ,      445,      64.02, 110.58, grundfos_0, 2475.0, 143,      35.84
"{""grundfos_0"": 2475.0, ""grundfos_1"": 2520.0}"                                                ,      445,      64.02, 110.58, grundfos_1, 2475.0, 143,      35.84
"{""grundfos_0"": 2475.0, ""grundfos_1"": 2520.0}"                                                ,      445,      64.02, 110.58, grundfos_1, 2520.0, 159,      38.9
"{""grundfos_0"": 2662.0, ""grundfos_2"": 2682.0}"                                                ,      589,      64.0 , 140.81, grundfos_0, 2662.0, 200,      47.75
"{""grundfos_0"": 2662.0, ""grundfos_2"": 2682.0}"                                                ,      589,      64.0 , 140.81, grundfos_2, 2602.0, 184,      44.09
"{""grundfos_0"": 2662.0, ""grundfos_2"": 2682.0}"                                                ,      589,      64.0 , 140.81, grundfos_2, 2682.0, 205,      48.97
"{""grundfos_0"": 2602.0, ""grundfos_2"": 2670.0}"                                                ,      586,      64.0 , 140.08, grundfos_0, 2602.0, 184,      44.09
"{""grundfos_0"": 2602.0, ""grundfos_2"": 2670.0}"                                                ,      586,      64.0 , 140.08, grundfos_2, 2662.0, 200,      47.75
"{""grundfos_0"": 2602.0, ""grundfos_2"": 2670.0}"                                                ,      586,      64.0 , 140.08, grundfos_2, 2670.0, 202,      48.24
"{""grundfos_0"": 2423.0, ""grundfos_2"": 2423.0, ""grundfos_3"": 2409.0}"                        ,      356,      64.0 ,  94.37, grundfos_0, 2423.0, 121,      31.86
"{""grundfos_0"": 2423.0, ""grundfos_2"": 2423.0, ""grundfos_3"": 2409.0}"                        ,      356,      64.0 ,  94.37, grundfos_2, 2423.0, 121,      31.86
"{""grundfos_0"": 2423.0, ""grundfos_2"": 2423.0, ""grundfos_3"": 2409.0}"                        ,      356,      64.0 ,  94.37, grundfos_3, 2409.0, 114,      30.65
"{""grundfos_1"": 2374.0, ""grundfos_2"": 2374.0, ""grundfos_3"": 2374.0}"                        ,      279,      64.01,  81.42, grundfos_1, 2374.0,  93,      27.14
"{""grundfos_1"": 2374.0, ""grundfos_2"": 2374.0, ""grundfos_3"": 2374.0}"                        ,      279,      64.01,  81.42, grundfos_2, 2374.0,  93,      27.14
"{""grundfos_1"": 2374.0, ""grundfos_2"": 2374.0, ""grundfos_3"": 2374.0}"                        ,      279,      64.01,  81.42, grundfos_3, 2374.0,  93,      27.14
"{""grundfos_1"": 2854.0, ""grundfos_2"": 2854.0}"                                                ,      716,      64.01, 173.96, grundfos_1, 2780.0, 228,      54.94
"{""grundfos_1"": 2854.0, ""grundfos_2"": 2854.0}"                                                ,      716,      64.01, 173.96, grundfos_1, 2854.0, 244,      59.51
"{""grundfos_1"": 2854.0, ""grundfos_2"": 2854.0}"                                                ,      716,      64.01, 173.96, grundfos_2, 2854.0, 244,      59.51
"{""grundfos_0"": 2505.0, ""grundfos_1"": 2535.0}"                                                ,      463,      64.0 , 114.01, grundfos_0, 2505.0, 154,      37.92
"{""grundfos_0"": 2505.0, ""grundfos_1"": 2535.0}"                                                ,      463,      64.0 , 114.01, grundfos_1, 2480.0, 145,      36.2
"{""grundfos_0"": 2505.0, ""grundfos_1"": 2535.0}"                                                ,      463,      64.0 , 114.01, grundfos_1, 2535.0, 164,      39.89
"{""grundfos_0"": 2835.0, ""grundfos_3"": 2798.0}"                                                ,      704,      64.0 , 170.43, grundfos_0, 2798.0, 232,      56.05
"{""grundfos_0"": 2835.0, ""grundfos_3"": 2798.0}"                                                ,      704,      64.0 , 170.43, grundfos_0, 2835.0, 240,      58.33
"{""grundfos_0"": 2835.0, ""grundfos_3"": 2798.0}"                                                ,      704,      64.0 , 170.43, grundfos_3, 2798.0, 232,      56.05
"{""grundfos_1"": 2686.0, ""grundfos_3"": 2719.0}"                                                ,      622,      64.0 , 148.67, grundfos_1, 2670.0, 202,      48.24
"{""grundfos_1"": 2686.0, ""grundfos_3"": 2719.0}"                                                ,      622,      64.0 , 148.67, grundfos_1, 2686.0, 206,      49.21
"{""grundfos_1"": 2686.0, ""grundfos_3"": 2719.0}"                                                ,      622,      64.0 , 148.67, grundfos_3, 2719.0, 214,      51.22
"{""grundfos_1"": 2483.0, ""grundfos_2"": 2494.0, ""grundfos_3"": 2523.0}"                        ,      456,      64.02, 112.66, grundfos_1, 2483.0, 146,      36.4
"{""grundfos_1"": 2483.0, ""grundfos_2"": 2494.0, ""grundfos_3"": 2523.0}"                        ,      456,      64.02, 112.66, grundfos_2, 2494.0, 150,      37.16
"{""grundfos_1"": 2483.0, ""grundfos_2"": 2494.0, ""grundfos_3"": 2523.0}"                        ,      456,      64.02, 112.66, grundfos_3, 2523.0, 160,      39.1
"{""grundfos_2"": 2514.0, ""grundfos_3"": 2514.0}"                                                ,      464,      64.02, 114.18, grundfos_2, 2514.0, 157,      38.51
"{""grundfos_2"": 2514.0, ""grundfos_3"": 2514.0}"                                                ,      464,      64.02, 114.18, grundfos_3, 2494.0, 150,      37.16
"{""grundfos_2"": 2514.0, ""grundfos_3"": 2514.0}"                                                ,      464,      64.02, 114.18, grundfos_3, 2514.0, 157,      38.51
"{""grundfos_0"": 2344.0, ""grundfos_2"": 2344.0, ""grundfos_3"": 2344.0}"                        ,      204,      64.03,  69.81, grundfos_0, 2344.0,  68,      23.27
"{""grundfos_0"": 2344.0, ""grundfos_2"": 2344.0, ""grundfos_3"": 2344.0}"                        ,      204,      64.03,  69.81, grundfos_2, 2344.0,  68,      23.27
"{""grundfos_0"": 2344.0, ""grundfos_2"": 2344.0, ""grundfos_3"": 2344.0}"                        ,      204,      64.03,  69.81, grundfos_3, 2344.0,  68,      23.27
"{""grundfos_1"": 2798.0, ""grundfos_2"": 2736.0}"                                                ,      655,      64.0 , 157.27, grundfos_1, 2682.0, 205,      48.97
"{""grundfos_1"": 2798.0, ""grundfos_2"": 2736.0}"                                                ,      655,      64.0 , 157.27, grundfos_1, 2798.0, 232,      56.05
"{""grundfos_1"": 2798.0, ""grundfos_2"": 2736.0}"                                                ,      655,      64.0 , 157.27, grundfos_2, 2736.0, 218,      52.25
"{""grundfos_1"": 2979.0, ""grundfos_3"": 2933.0}"                                                ,      787,      64.05, 195.71, grundfos_1, 2979.0, 269,      67.4
"{""grundfos_1"": 2979.0, ""grundfos_3"": 2933.0}"                                                ,      787,      64.05, 195.71, grundfos_3, 2923.0, 258,      63.84
"{""grundfos_1"": 2979.0, ""grundfos_3"": 2933.0}"                                                ,      787,      64.05, 195.71, grundfos_3, 2933.0, 260,      64.47
"{""grundfos_0"": 2979.0, ""grundfos_1"": 2979.0, ""grundfos_2"": 2979.0}"                        ,      807,      64.05, 202.2 , grundfos_0, 2979.0, 269,      67.4
"{""grundfos_0"": 2979.0, ""grundfos_1"": 2979.0, ""grundfos_2"": 2979.0}"                        ,      807,      64.05, 202.2 , grundfos_1, 2979.0, 269,      67.4
"{""grundfos_0"": 2979.0, ""grundfos_1"": 2979.0, ""grundfos_2"": 2979.0}"                        ,      807,      64.05, 202.2 , grundfos_2, 2979.0, 269,      67.4
"{""grundfos_1"": 2362.0, ""grundfos_2"": 2362.0, ""grundfos_3"": 2362.0}"                        ,      252,      64.02,  77.1 , grundfos_1, 2362.0,  84,      25.7
"{""grundfos_1"": 2362.0, ""grundfos_2"": 2362.0, ""grundfos_3"": 2362.0}"                        ,      252,      64.02,  77.1 , grundfos_2, 2362.0,  84,      25.7
"{""grundfos_1"": 2362.0, ""grundfos_2"": 2362.0, ""grundfos_3"": 2362.0}"                        ,      252,      64.02,  77.1 , grundfos_3, 2362.0,  84,      25.7
"{""grundfos_1"": 2380.0, ""grundfos_2"": 2380.0, ""grundfos_3"": 2380.0}"                        ,      291,      64.01,  83.37, grundfos_1, 2380.0,  97,      27.79
"{""grundfos_1"": 2380.0, ""grundfos_2"": 2380.0, ""grundfos_3"": 2380.0}"                        ,      291,      64.01,  83.37, grundfos_2, 2380.0,  97,      27.79
"{""grundfos_1"": 2380.0, ""grundfos_2"": 2380.0, ""grundfos_3"": 2380.0}"                        ,      291,      64.01,  83.37, grundfos_3, 2380.0,  97,      27.79
"{""grundfos_0"": 2771.0, ""grundfos_2"": 2749.0, ""grundfos_3"": 2771.0}"                        ,      673,      64.0 , 161.82, grundfos_0, 2771.0, 226,      54.39
"{""grundfos_0"": 2771.0, ""grundfos_2"": 2749.0, ""grundfos_3"": 2771.0}"                        ,      673,      64.0 , 161.82, grundfos_2, 2749.0, 221,      53.04
"{""grundfos_0"": 2771.0, ""grundfos_2"": 2749.0, ""grundfos_3"": 2771.0}"                        ,      673,      64.0 , 161.82, grundfos_3, 2771.0, 226,      54.39
"{""grundfos_1"": 2953.0, ""grundfos_2"": 2953.0, ""grundfos_3"": 2953.0}"                        ,      792,      64.02, 197.22, grundfos_1, 2953.0, 264,      65.74
"{""grundfos_1"": 2953.0, ""grundfos_2"": 2953.0, ""grundfos_3"": 2953.0}"                        ,      792,      64.02, 197.22, grundfos_2, 2953.0, 264,      65.74
"{""grundfos_1"": 2953.0, ""grundfos_2"": 2953.0, ""grundfos_3"": 2953.0}"                        ,      792,      64.02, 197.22, grundfos_3, 2953.0, 264,      65.74
"{""grundfos_0"": 2845.0, ""grundfos_2"": 2913.0}"                                                ,      740,      64.05, 181.11, grundfos_0, 2845.0, 242,      58.95
"{""grundfos_0"": 2845.0, ""grundfos_2"": 2913.0}"                                                ,      740,      64.05, 181.11, grundfos_2, 2845.0, 242,      58.95
"{""grundfos_0"": 2845.0, ""grundfos_2"": 2913.0}"                                                ,      740,      64.05, 181.11, grundfos_2, 2913.0, 256,      63.21
"{""grundfos_0"": 2835.0, ""grundfos_1"": 2878.0, ""grundfos_2"": 2821.0}"                        ,      726,      64.0 , 176.81, grundfos_0, 2835.0, 240,      58.33
"{""grundfos_0"": 2835.0, ""grundfos_1"": 2878.0, ""grundfos_2"": 2821.0}"                        ,      726,      64.0 , 176.81, grundfos_1, 2878.0, 249,      61.01
"{""grundfos_0"": 2835.0, ""grundfos_1"": 2878.0, ""grundfos_2"": 2821.0}"                        ,      726,      64.0 , 176.81, grundfos_2, 2821.0, 237,      57.47
"{""grundfos_0"": 2835.0, ""grundfos_1"": 2821.0}"                                                ,      703,      64.0 , 170.19, grundfos_0, 2771.0, 226,      54.39
"{""grundfos_0"": 2835.0, ""grundfos_1"": 2821.0}"                                                ,      703,      64.0 , 170.19, grundfos_0, 2835.0, 240,      58.33
"{""grundfos_0"": 2835.0, ""grundfos_1"": 2821.0}"                                                ,      703,      64.0 , 170.19, grundfos_1, 2821.0, 237,      57.47
"{""grundfos_1"": 2358.0, ""grundfos_2"": 2351.0, ""grundfos_3"": 2358.0}"                        ,      237,      64.01,  74.74, grundfos_1, 2358.0,  81,      25.22
"{""grundfos_1"": 2358.0, ""grundfos_2"": 2351.0, ""grundfos_3"": 2358.0}"                        ,      237,      64.01,  74.74, grundfos_2, 2351.0,  75,      24.3
"{""grundfos_1"": 2358.0, ""grundfos_2"": 2351.0, ""grundfos_3"": 2358.0}"                        ,      237,      64.01,  74.74, grundfos_3, 2358.0,  81,      25.22
"{""grundfos_0"": 2305.0, ""grundfos_2"": 2302.0, ""grundfos_3"": 2302.0}"                        ,       49,      64.0 ,  52.11, grundfos_0, 2305.0,  19,      17.59
"{""grundfos_0"": 2305.0, ""grundfos_2"": 2302.0, ""grundfos_3"": 2302.0}"                        ,       49,      64.0 ,  52.11, grundfos_2, 2302.0,  15,      17.26
"{""grundfos_0"": 2305.0, ""grundfos_2"": 2302.0, ""grundfos_3"": 2302.0}"                        ,       49,      64.0 ,  52.11, grundfos_3, 2302.0,  15,      17.26
"{""grundfos_0"": 2366.0, ""grundfos_1"": 2356.0, ""grundfos_2"": 2366.0}"                        ,      253,      64.03,  77.28, grundfos_0, 2366.0,  87,      26.18
"{""grundfos_0"": 2366.0, ""grundfos_1"": 2356.0, ""grundfos_2"": 2366.0}"                        ,      253,      64.03,  77.28, grundfos_1, 2356.0,  79,      24.92
"{""grundfos_0"": 2366.0, ""grundfos_1"": 2356.0, ""grundfos_2"": 2366.0}"                        ,      253,      64.03,  77.28, grundfos_2, 2366.0,  87,      26.18
"{""grundfos_1"": 2514.0, ""grundfos_3"": 2483.0}"                                                ,      449,      64.02, 111.31, grundfos_1, 2483.0, 146,      36.4
"{""grundfos_1"": 2514.0, ""grundfos_3"": 2483.0}"                                                ,      449,      64.02, 111.31, grundfos_1, 2514.0, 157,      38.51
"{""grundfos_1"": 2514.0, ""grundfos_3"": 2483.0}"                                                ,      449,      64.02, 111.31, grundfos_3, 2483.0, 146,      36.4
"{""grundfos_0"": 2411.0, ""grundfos_1"": 2398.0}"                                                ,      331,      64.0 ,  90.08, grundfos_0, 2398.0, 108,      29.63
"{""grundfos_0"": 2411.0, ""grundfos_1"": 2398.0}"                                                ,      331,      64.0 ,  90.08, grundfos_0, 2411.0, 115,      30.82
"{""grundfos_0"": 2411.0, ""grundfos_1"": 2398.0}"                                                ,      331,      64.0 ,  90.08, grundfos_1, 2398.0, 108,      29.63
"{""grundfos_1"": 2386.0, ""grundfos_2"": 2398.0, ""grundfos_3"": 2398.0}"                        ,      317,      64.0 ,  87.71, grundfos_1, 2386.0, 101,      28.45
"{""grundfos_1"": 2386.0, ""grundfos_2"": 2398.0, ""grundfos_3"": 2398.0}"                        ,      317,      64.0 ,  87.71, grundfos_2, 2398.0, 108,      29.63
"{""grundfos_1"": 2386.0, ""grundfos_2"": 2398.0, ""grundfos_3"": 2398.0}"                        ,      317,      64.0 ,  87.71, grundfos_3, 2398.0, 108,      29.63
"{""grundfos_1"": 2831.0, ""grundfos_3"": 2831.0}"                                                ,      478,      64.05, 116.16, grundfos_1, 2831.0, 239,      58.08
"{""grundfos_1"": 2831.0, ""grundfos_3"": 2831.0}"                                                ,      478,      64.05, 116.16, grundfos_3, 2831.0, 239,      58.08
"{""grundfos_1"": 2526.0}"                                                                        ,      287,      64.02,  72.05, grundfos_1, 2434.0, 126,      32.75
"{""grundfos_1"": 2526.0}"                                                                        ,      287,      64.02,  72.05, grundfos_1, 2526.0, 161,      39.3
"{""grundfos_1"": 2498.0, ""grundfos_3"": 2479.0}"                                                ,      295,      64.1 ,  73.48, grundfos_1, 2498.0, 151,      37.4
"{""grundfos_1"": 2498.0, ""grundfos_3"": 2479.0}"                                                ,      295,      64.1 ,  73.48, grundfos_3, 2479.0, 144,      36.08
"{""grundfos_1"": 2933.0}"                                                                        ,      518,      64.05, 128.31, grundfos_1, 2923.0, 258,      63.84
"{""grundfos_1"": 2933.0}"                                                                        ,      518,      64.05, 128.31, grundfos_1, 2933.0, 260,      64.47
