pump_combination,flow,prevalence,power,target_k
"{""67"": 1199}",55.3,4.0,0.929,0.001307
"{""67"": 1199}",55.3,4.0,0.929,0.001306
"{""67"": 1199}",55.3,4.0,0.929,0.001305
"{""67"": 1199}",55.4,4.0,0.93,0.001304
"{""67"": 1199}",55.4,4.0,0.93,0.001303
"{""67"": 1199}",55.5,4.0,0.931,0.001302
"{""67"": 1199}",55.5,4.0,0.931,0.001301
"{""67"": 1199}",55.5,4.0,0.931,0.0013
"{""67"": 1199}",55.6,4.0,0.931,0.001299
"{""67"": 1199}",55.6,4.0,0.931,0.001298
"{""67"": 1200}",55.7,4.0,0.934,0.001297
"{""67"": 1200}",55.7,4.0,0.934,0.001296
"{""67"": 1200}",55.8,4.0,0.935,0.001295
"{""67"": 1200}",55.8,4.0,0.935,0.001294
"{""67"": 1200}",55.9,4.0,0.936,0.001293
"{""67"": 1200}",55.9,4.0,0.936,0.001292
"{""67"": 1200}",55.9,4.0,0.936,0.001291
"{""67"": 1200}",56.0,4.0,0.936,0.00129
"{""67"": 1200}",56.0,4.0,0.936,0.001289
"{""67"": 1200}",56.1,4.0,0.937,0.001288
"{""67"": 1200}",56.1,4.0,0.937,0.001287
"{""67"": 1214}",56.1,4.1,0.965,0.001286
"{""67"": 1214}",56.2,4.1,0.966,0.001285
"{""67"": 1214}",56.2,4.1,0.966,0.001284
"{""67"": 1214}",56.3,4.1,0.967,0.001283
"{""67"": 1214}",56.3,4.1,0.967,0.001282
"{""67"": 1214}",56.4,4.1,0.968,0.001281
"{""67"": 1214}",56.4,4.1,0.968,0.00128
"{""67"": 1214}",56.4,4.1,0.968,0.001279
"{""67"": 1215}",56.5,4.1,0.97,0.001278
"{""67"": 1215}",56.5,4.1,0.97,0.001277
"{""67"": 1215}",56.6,4.1,0.971,0.001276
"{""67"": 1215}",56.6,4.1,0.971,0.001275
"{""67"": 1215}",56.7,4.1,0.972,0.001274
"{""67"": 1215}",56.7,4.1,0.972,0.001273
"{""67"": 1215}",56.7,4.1,0.972,0.001272
"{""67"": 1215}",56.8,4.1,0.972,0.001271
"{""67"": 1215}",56.8,4.1,0.972,0.00127
"{""67"": 1216}",56.9,4.1,0.975,0.001269
"{""67"": 1216}",56.9,4.1,0.975,0.001268
"{""67"": 1216}",57.0,4.1,0.976,0.001267
"{""67"": 1216}",57.0,4.1,0.976,0.001266
"{""67"": 1216}",57.0,4.1,0.976,0.001265
"{""67"": 1216}",57.1,4.1,0.977,0.001264
"{""67"": 1216}",57.1,4.1,0.977,0.001263
"{""67"": 1216}",57.2,4.1,0.977,0.001262
"{""67"": 1216}",57.2,4.1,0.977,0.001261
"{""67"": 1217}",57.3,4.1,0.98,0.00126
"{""67"": 1217}",57.3,4.1,0.98,0.001259
"{""67"": 1217}",57.4,4.1,0.981,0.001258
"{""67"": 1217}",57.4,4.1,0.981,0.001257
"{""67"": 1217}",57.5,4.1,0.982,0.001256
"{""67"": 1217}",57.5,4.1,0.982,0.001255
"{""67"": 1217}",57.5,4.1,0.982,0.001254
"{""67"": 1230}",57.6,4.2,1.01,0.001253
"{""67"": 1230}",57.6,4.2,1.01,0.001252
"{""67"": 1231}",57.7,4.2,1.013,0.001251
"{""67"": 1231}",57.7,4.2,1.013,0.00125
"{""67"": 1231}",57.8,4.2,1.013,0.001249
"{""67"": 1231}",57.8,4.2,1.013,0.001248
"{""67"": 1231}",57.9,4.2,1.014,0.001247
"{""67"": 1231}",57.9,4.2,1.014,0.001246
"{""67"": 1231}",58.0,4.2,1.015,0.001245
"{""67"": 1231}",58.0,4.2,1.015,0.001244
"{""67"": 1231}",58.0,4.2,1.015,0.001243
"{""67"": 1232}",58.1,4.2,1.018,0.001242
"{""67"": 1232}",58.1,4.2,1.018,0.001241
"{""67"": 1232}",58.2,4.2,1.018,0.00124
"{""67"": 1232}",58.2,4.2,1.018,0.001239
"{""67"": 1232}",58.3,4.2,1.019,0.001238
"{""67"": 1232}",58.3,4.2,1.019,0.001237
"{""67"": 1232}",58.4,4.2,1.02,0.001236
"{""67"": 1232}",58.4,4.2,1.02,0.001235
"{""67"": 1233}",58.5,4.2,1.023,0.001234
"{""67"": 1233}",58.5,4.2,1.023,0.001233
"{""67"": 1233}",58.5,4.2,1.023,0.001232
"{""67"": 1233}",58.6,4.2,1.023,0.001231
"{""67"": 1233}",58.6,4.2,1.023,0.00123
"{""67"": 1233}",58.7,4.2,1.024,0.001229
"{""67"": 1233}",58.7,4.2,1.024,0.001228
"{""67"": 1233}",58.8,4.2,1.025,0.001227
"{""67"": 1233}",58.8,4.2,1.025,0.001226
"{""67"": 1234}",58.9,4.2,1.028,0.001225
"{""67"": 1234}",58.9,4.2,1.028,0.001224
"{""67"": 1234}",59.0,4.2,1.028,0.001223
"{""67"": 1247}",59.0,4.3,1.057,0.001222
"{""67"": 1247}",59.1,4.3,1.057,0.001221
"{""67"": 1247}",59.1,4.3,1.057,0.00122
"{""67"": 1247}",59.2,4.3,1.058,0.001219
"{""67"": 1247}",59.2,4.3,1.058,0.001218
"{""67"": 1247}",59.3,4.3,1.059,0.001217
"{""67"": 1247}",59.3,4.3,1.059,0.001216
"{""67"": 1247}",59.3,4.3,1.059,0.001215
"{""67"": 1248}",59.4,4.3,1.062,0.001214
"{""67"": 1248}",59.4,4.3,1.062,0.001213
"{""67"": 1248}",59.5,4.3,1.063,0.001212
"{""67"": 1248}",59.5,4.3,1.063,0.001211
"{""67"": 1248}",59.6,4.3,1.063,0.00121
"{""67"": 1248}",59.6,4.3,1.063,0.001209
"{""67"": 1248}",59.7,4.3,1.064,0.001208
"{""67"": 1248}",59.7,4.3,1.064,0.001207
"{""67"": 1249}",59.8,4.3,1.067,0.001206
"{""67"": 1249}",59.8,4.3,1.067,0.001205
"{""67"": 1249}",59.9,4.3,1.068,0.001204
"{""67"": 1249}",59.9,4.3,1.068,0.001203
"{""67"": 1249}",60.0,4.3,1.068,0.001202
"{""67"": 1249}",60.0,4.3,1.068,0.001201
"{""67"": 1249}",60.1,4.3,1.069,0.0012
"{""67"": 1249}",60.1,4.3,1.069,0.001199
"{""67"": 1250}",60.2,4.3,1.072,0.001198
"{""67"": 1250}",60.2,4.3,1.072,0.001197
"{""67"": 1250}",60.3,4.3,1.073,0.001196
"{""67"": 1250}",60.3,4.3,1.073,0.001195
"{""67"": 1250}",60.4,4.3,1.074,0.001194
"{""67"": 1263}",60.4,4.4,1.103,0.001193
"{""67"": 1263}",60.5,4.4,1.103,0.001192
"{""67"": 1263}",60.5,4.4,1.103,0.001191
"{""67"": 1263}",60.6,4.4,1.104,0.00119
"{""67"": 1263}",60.6,4.4,1.104,0.001189
"{""67"": 1264}",60.7,4.4,1.107,0.001188
"{""67"": 1264}",60.7,4.4,1.107,0.001187
"{""67"": 1264}",60.8,4.4,1.108,0.001186
"{""67"": 1264}",60.8,4.4,1.108,0.001185
"{""67"": 1264}",60.9,4.4,1.109,0.001184
"{""67"": 1264}",60.9,4.4,1.109,0.001183
"{""67"": 1264}",61.0,4.4,1.11,0.001182
"{""67"": 1264}",61.0,4.4,1.11,0.001181
"{""67"": 1265}",61.1,4.4,1.113,0.00118
"{""67"": 1265}",61.1,4.4,1.113,0.001179
"{""67"": 1265}",61.2,4.4,1.113,0.001178
"{""67"": 1265}",61.2,4.4,1.113,0.001177
"{""67"": 1265}",61.3,4.4,1.114,0.001176
"{""67"": 1265}",61.3,4.4,1.114,0.001175
"{""67"": 1265}",61.4,4.4,1.115,0.001174
"{""67"": 1265}",61.4,4.4,1.115,0.001173
"{""67"": 1266}",61.5,4.4,1.118,0.001172
"{""67"": 1266}",61.5,4.4,1.118,0.001171
"{""67"": 1266}",61.6,4.4,1.119,0.00117
"{""67"": 1266}",61.6,4.4,1.119,0.001169
"{""67"": 1266}",61.7,4.4,1.119,0.001168
"{""67"": 1266}",61.7,4.4,1.119,0.001167
"{""67"": 1266}",61.8,4.4,1.12,0.001166
"{""67"": 1279}",61.8,4.5,1.15,0.001165
"{""67"": 1279}",61.9,4.5,1.151,0.001164
"{""67"": 1279}",61.9,4.5,1.151,0.001163
"{""67"": 1279}",62.0,4.5,1.152,0.001162
"{""67"": 1279}",62.0,4.5,1.152,0.001161
"{""67"": 1280}",62.1,4.5,1.155,0.00116
"{""67"": 1280}",62.1,4.5,1.155,0.001159
"{""67"": 1280}",62.2,4.5,1.155,0.001158
"{""67"": 1280}",62.3,4.5,1.156,0.001157
"{""67"": 1280}",62.3,4.5,1.156,0.001156
"{""67"": 1280}",62.4,4.5,1.157,0.001155
"{""67"": 1280}",62.4,4.5,1.157,0.001154
"{""67"": 1281}",62.5,4.5,1.16,0.001153
"{""67"": 1281}",62.5,4.5,1.16,0.001152
"{""67"": 1281}",62.6,4.5,1.161,0.001151
"{""67"": 1281}",62.6,4.5,1.161,0.00115
"{""67"": 1281}",62.7,4.5,1.162,0.001149
"{""67"": 1281}",62.7,4.5,1.162,0.001148
"{""67"": 1281}",62.8,4.5,1.162,0.001147
"{""67"": 1281}",62.8,4.5,1.162,0.001146
"{""67"": 1282}",62.9,4.5,1.166,0.001145
"{""67"": 1282}",62.9,4.5,1.166,0.001144
"{""67"": 1282}",63.0,4.5,1.166,0.001143
"{""67"": 1282}",63.0,4.5,1.166,0.001142
"{""67"": 1282}",63.1,4.5,1.167,0.001141
"{""67"": 1282}",63.1,4.5,1.167,0.00114
"{""67"": 1282}",63.2,4.5,1.168,0.001139
"{""67"": 1295}",63.3,4.6,1.2,0.001138
"{""67"": 1295}",63.3,4.6,1.2,0.001137
"{""67"": 1295}",63.4,4.6,1.2,0.001136
"{""67"": 1295}",63.4,4.6,1.2,0.001135
"{""67"": 1296}",63.5,4.6,1.204,0.001134
"{""67"": 1296}",63.5,4.6,1.204,0.001133
"{""67"": 1296}",63.6,4.6,1.204,0.001132
"{""67"": 1296}",63.6,4.6,1.204,0.001131
"{""67"": 1296}",63.7,4.6,1.205,0.00113
"{""67"": 1296}",63.8,4.6,1.206,0.001129
"{""67"": 1296}",63.8,4.6,1.206,0.001128
"{""67"": 1297}",63.9,4.6,1.209,0.001127
"{""67"": 1297}",63.9,4.6,1.209,0.001126
"{""67"": 1297}",64.0,4.6,1.21,0.001125
"{""67"": 1297}",64.0,4.6,1.21,0.001124
"{""67"": 1297}",64.1,4.6,1.211,0.001123
"{""67"": 1297}",64.1,4.6,1.211,0.001122
"{""67"": 1297}",64.2,4.6,1.211,0.001121
"{""67"": 1297}",64.2,4.6,1.211,0.00112
"{""67"": 1298}",64.3,4.6,1.215,0.001119
"{""67"": 1298}",64.4,4.6,1.215,0.001118
"{""67"": 1298}",64.4,4.6,1.215,0.001117
"{""67"": 1298}",64.5,4.6,1.216,0.001116
"{""67"": 1298}",64.5,4.6,1.216,0.001115
"{""67"": 1298}",64.6,4.6,1.217,0.001114
"{""67"": 1299}",64.7,4.6,1.22,0.001113
"{""67"": 1311}",64.7,4.7,1.25,0.001112
"{""67"": 1311}",64.8,4.7,1.25,0.001111
"{""67"": 1311}",64.8,4.7,1.25,0.00111
"{""67"": 1311}",64.9,4.7,1.251,0.001109
"{""67"": 1311}",64.9,4.7,1.251,0.001108
"{""67"": 1312}",65.0,4.7,1.254,0.001107
"{""67"": 1312}",65.0,4.7,1.254,0.001106
"{""67"": 1312}",65.1,4.7,1.255,0.001105
"{""67"": 1312}",65.2,4.7,1.256,0.001104
"{""67"": 1312}",65.2,4.7,1.256,0.001103
"{""67"": 1312}",65.3,4.7,1.257,0.001102
"{""67"": 1312}",65.3,4.7,1.257,0.001101
"{""67"": 1313}",65.4,4.7,1.26,0.0011
"{""67"": 1313}",65.4,4.7,1.26,0.001099
"{""67"": 1313}",65.5,4.7,1.261,0.001098
"{""67"": 1313}",65.6,4.7,1.262,0.001097
"{""67"": 1313}",65.6,4.7,1.262,0.001096
"{""67"": 1313}",65.7,4.7,1.263,0.001095
"{""67"": 1313}",65.7,4.7,1.263,0.001094
"{""67"": 1314}",65.8,4.7,1.266,0.001093
"{""67"": 1314}",65.8,4.7,1.266,0.001092
"{""67"": 1314}",65.9,4.7,1.267,0.001091
"{""67"": 1314}",66.0,4.7,1.267,0.00109
"{""67"": 1314}",66.0,4.7,1.267,0.001089
"{""67"": 1327}",66.1,4.8,1.301,0.001088
"{""67"": 1327}",66.2,4.8,1.302,0.001087
"{""67"": 1327}",66.2,4.8,1.302,0.001086
"{""67"": 1327}",66.3,4.8,1.303,0.001085
"{""67"": 1327}",66.3,4.8,1.303,0.001084
"{""67"": 1327}",66.4,4.8,1.303,0.001083
"{""67"": 1327}",66.4,4.8,1.303,0.001082
"{""67"": 1328}",66.5,4.8,1.307,0.001081
"{""67"": 1328}",66.6,4.8,1.308,0.00108
"{""67"": 1328}",66.6,4.8,1.308,0.001079
"{""67"": 1328}",66.7,4.8,1.308,0.001078
"{""67"": 1328}",66.8,4.8,1.309,0.001077
"{""67"": 1328}",66.8,4.8,1.309,0.001076
"{""67"": 1329}",66.9,4.8,1.313,0.001075
"{""67"": 1329}",66.9,4.8,1.313,0.001074
"{""67"": 1329}",67.0,4.8,1.313,0.001073
"{""67"": 1329}",67.0,4.8,1.313,0.001072
"{""67"": 1329}",67.1,4.8,1.314,0.001071
"{""67"": 1330}",67.2,4.8,1.318,0.00107
"{""67"": 1330}",67.2,4.8,1.318,0.001069
"{""67"": 1330}",67.3,4.8,1.318,0.001068
"{""67"": 1330}",67.4,4.8,1.319,0.001067
"{""67"": 1330}",67.4,4.8,1.319,0.001066
"{""67"": 1330}",67.5,4.8,1.32,0.001065
"{""67"": 1342}",67.5,4.9,1.351,0.001064
"{""67"": 1343}",67.6,4.9,1.354,0.001063
"{""67"": 1343}",67.7,4.9,1.355,0.001062
"{""67"": 1343}",67.7,4.9,1.355,0.001061
"{""67"": 1343}",67.8,4.9,1.356,0.00106
"{""67"": 1343}",67.9,4.9,1.357,0.001059
"{""67"": 1343}",67.9,4.9,1.357,0.001058
"{""67"": 1344}",68.0,4.9,1.36,0.001057
"{""67"": 1344}",68.0,4.9,1.36,0.001056
"{""67"": 1344}",68.1,4.9,1.361,0.001055
"{""67"": 1344}",68.2,4.9,1.362,0.001054
"{""67"": 1344}",68.2,4.9,1.362,0.001053
"{""67"": 1344}",68.3,4.9,1.363,0.001052
"{""67"": 1345}",68.4,4.9,1.366,0.001051
"{""67"": 1345}",68.4,4.9,1.366,0.00105
"{""67"": 1345}",68.5,4.9,1.367,0.001049
"{""67"": 1345}",68.5,4.9,1.367,0.001048
"{""67"": 1345}",68.6,4.9,1.368,0.001047
"{""67"": 1346}",68.7,4.9,1.371,0.001046
"{""67"": 1346}",68.7,4.9,1.371,0.001045
"{""67"": 1346}",68.8,4.9,1.372,0.001044
"{""67"": 1346}",68.9,4.9,1.373,0.001043
"{""67"": 1346}",68.9,4.9,1.373,0.001042
"{""67"": 1358}",69.0,5.0,1.406,0.001041
"{""67"": 1358}",69.0,5.0,1.406,0.00104
"{""67"": 1358}",69.1,5.0,1.407,0.001039
"{""67"": 1359}",69.2,5.0,1.41,0.001038
"{""67"": 1359}",69.3,5.0,1.411,0.001037
"{""67"": 1359}",69.3,5.0,1.411,0.001036
"{""67"": 1359}",69.4,5.0,1.412,0.001035
"{""67"": 1359}",69.4,5.0,1.412,0.001034
"{""67"": 1359}",69.5,5.0,1.413,0.001033
"{""67"": 1360}",69.6,5.0,1.416,0.001032
"{""67"": 1360}",69.6,5.0,1.416,0.001031
"{""67"": 1360}",69.7,5.0,1.417,0.00103
"{""67"": 1360}",69.8,5.0,1.418,0.001029
"{""67"": 1360}",69.8,5.0,1.418,0.001028
"{""67"": 1361}",69.9,5.0,1.421,0.001027
"{""67"": 1361}",70.0,5.0,1.422,0.001026
"{""67"": 1361}",70.0,5.0,1.422,0.001025
"{""67"": 1361}",70.1,5.0,1.423,0.001024
"{""67"": 1361}",70.2,5.0,1.424,0.001023
"{""67"": 1361}",70.2,5.0,1.424,0.001022
"{""67"": 1362}",70.3,5.0,1.428,0.001021
"{""67"": 1362}",70.4,5.0,1.428,0.00102
"{""67"": 1374}",70.4,5.1,1.461,0.001019
"{""67"": 1374}",70.5,5.1,1.462,0.001018
"{""67"": 1374}",70.6,5.1,1.463,0.001017
"{""67"": 1374}",70.6,5.1,1.463,0.001016
"{""67"": 1374}",70.7,5.1,1.464,0.001015
"{""67"": 1375}",70.8,5.1,1.467,0.001014
"{""67"": 1375}",70.9,5.1,1.468,0.001013
"{""67"": 1375}",70.9,5.1,1.468,0.001012
"{""67"": 1375}",71.0,5.1,1.469,0.001011
"{""67"": 1375}",71.0,5.1,1.469,0.00101
"{""67"": 1376}",71.1,5.1,1.473,0.001009
"{""67"": 1376}",71.2,5.1,1.474,0.001008
"{""67"": 1376}",71.2,5.1,1.474,0.001007
"{""67"": 1376}",71.3,5.1,1.474,0.001006
"{""67"": 1376}",71.4,5.1,1.475,0.001005
"{""67"": 1377}",71.5,5.1,1.479,0.001004
"{""67"": 1377}",71.5,5.1,1.479,0.001003
"{""67"": 1377}",71.6,5.1,1.48,0.001002
"{""67"": 1377}",71.7,5.1,1.481,0.001001
"{""67"": 1377}",71.7,5.1,1.481,0.001
"{""67"": 1389}",71.8,5.2,1.515,0.000999
"{""67"": 1389}",71.9,5.2,1.516,0.000998
"{""67"": 1390}",72.0,5.2,1.52,0.000997
"{""67"": 1390}",72.0,5.2,1.52,0.000996
"{""67"": 1390}",72.1,5.2,1.52,0.000995
"{""67"": 1390}",72.2,5.2,1.521,0.000994
"{""67"": 1390}",72.2,5.2,1.521,0.000993
"{""67"": 1390}",72.3,5.2,1.522,0.000992
"{""67"": 1391}",72.4,5.2,1.526,0.000991
"{""67"": 1391}",72.5,5.2,1.527,0.00099
"{""67"": 1391}",72.5,5.2,1.527,0.000989
"{""67"": 1391}",72.6,5.2,1.528,0.000988
"{""67"": 1392}",72.7,5.2,1.531,0.000987
"{""67"": 1392}",72.7,5.2,1.531,0.000986
"{""67"": 1392}",72.8,5.2,1.532,0.000985
"{""67"": 1392}",72.9,5.2,1.533,0.000984
"{""67"": 1392}",72.9,5.2,1.533,0.000983
"{""67"": 1392}",73.0,5.2,1.534,0.000982
"{""67"": 1393}",73.1,5.2,1.538,0.000981
"{""67"": 1393}",73.1,5.2,1.538,0.00098
"{""67"": 1393}",73.2,5.2,1.539,0.000979
"{""67"": 1405}",73.3,5.3,1.574,0.000978
"{""67"": 1405}",73.4,5.3,1.575,0.000977
"{""67"": 1405}",73.4,5.3,1.575,0.000976
"{""67"": 1405}",73.5,5.3,1.576,0.000975
"{""67"": 1405}",73.6,5.3,1.577,0.000974
"{""67"": 1406}",73.7,5.3,1.58,0.000973
"{""67"": 1406}",73.7,5.3,1.58,0.000972
"{""67"": 1406}",73.8,5.3,1.581,0.000971
"{""67"": 1406}",73.9,5.3,1.582,0.00097
"{""67"": 1407}",74.0,5.3,1.586,0.000969
"{""67"": 1407}",74.0,5.3,1.586,0.000968
"{""67"": 1407}",74.1,5.3,1.587,0.000967
"{""67"": 1407}",74.2,5.3,1.588,0.000966
"{""67"": 1408}",74.3,5.3,1.592,0.000965
"{""67"": 1408}",74.3,5.3,1.592,0.000964
"{""67"": 1408}",74.4,5.3,1.592,0.000963
"{""67"": 1408}",74.5,5.3,1.593,0.000962
"{""67"": 1408}",74.6,5.3,1.594,0.000961
"{""67"": 1408}",74.6,5.3,1.594,0.00096
"{""67"": 1420}",74.7,5.4,1.631,0.000959
"{""67"": 1420}",74.8,5.4,1.631,0.000958
"{""67"": 1420}",74.9,5.4,1.632,0.000957
"{""67"": 1420}",74.9,5.4,1.632,0.000956
"{""67"": 1421}",75.0,5.4,1.636,0.000955
"{""67"": 1421}",75.1,5.4,1.637,0.000954
"{""67"": 1421}",75.2,5.4,1.638,0.000953
"{""67"": 1421}",75.2,5.4,1.638,0.000952
"{""67"": 1422}",75.3,5.4,1.642,0.000951
"{""67"": 1422}",75.4,5.4,1.643,0.00095
"{""67"": 1422}",75.5,5.4,1.644,0.000949
"{""67"": 1422}",75.5,5.4,1.644,0.000948
"{""67"": 1423}",75.6,5.4,1.648,0.000947
"{""67"": 1423}",75.7,5.4,1.648,0.000946
"{""67"": 1423}",75.8,5.4,1.649,0.000945
"{""67"": 1423}",75.8,5.4,1.649,0.000944
"{""67"": 1423}",75.9,5.4,1.65,0.000943
"{""67"": 1424}",76.0,5.4,1.654,0.000942
"{""67"": 1424}",76.1,5.4,1.655,0.000941
"{""67"": 1435}",76.2,5.5,1.689,0.00094
"{""67"": 1436}",76.3,5.5,1.693,0.000939
"{""67"": 1436}",76.3,5.5,1.693,0.000938
"{""67"": 1436}",76.4,5.5,1.694,0.000937
"{""67"": 1436}",76.5,5.5,1.695,0.000936
"{""67"": 1437}",76.6,5.5,1.699,0.000935
"{""67"": 1437}",76.7,5.5,1.7,0.000934
"{""67"": 1437}",76.7,5.5,1.7,0.000933
"{""67"": 1437}",76.8,5.5,1.701,0.000932
"{""67"": 1437}",76.9,5.5,1.702,0.000931
"{""67"": 1438}",77.0,5.5,1.706,0.00093
"{""67"": 1438}",77.1,5.5,1.707,0.000929
"{""67"": 1438}",77.1,5.5,1.707,0.000928
"{""67"": 1438}",77.2,5.5,1.707,0.000927
"{""67"": 1439}",77.3,5.5,1.711,0.000926
"{""67"": 1439}",77.4,5.5,1.712,0.000925
"{""67"": 1439}",77.5,5.5,1.713,0.000924
"{""67"": 1439}",77.5,5.5,1.713,0.000923
"{""67"": 1450}",77.6,5.6,1.748,0.000922
"{""67"": 1451}",77.7,5.6,1.752,0.000921
"{""67"": 1451}",77.8,5.6,1.753,0.00092
"{""67"": 1451}",77.9,5.6,1.754,0.000919
"{""67"": 1451}",77.9,5.6,1.754,0.000918
"{""67"": 1452}",78.0,5.6,1.758,0.000917
"{""67"": 1452}",78.1,5.6,1.759,0.000916
"{""67"": 1452}",78.2,5.6,1.76,0.000915
"{""67"": 1453}",78.3,5.6,1.764,0.000914
"{""67"": 1453}",78.4,5.6,1.765,0.000913
"{""67"": 1453}",78.4,5.6,1.765,0.000912
"{""67"": 1453}",78.5,5.6,1.766,0.000911
"{""67"": 1454}",78.6,5.6,1.77,0.00091
"{""67"": 1454}",78.7,5.6,1.771,0.000909
"{""67"": 1454}",78.8,5.6,1.772,0.000908
"{""67"": 1454}",78.9,5.6,1.773,0.000907
"{""67"": 1454}",78.9,5.6,1.773,0.000906
"{""67"": 1466}",79.0,5.7,1.812,0.000905
"{""67"": 1466}",79.1,5.7,1.813,0.000904
"{""67"": 1466}",79.2,5.7,1.814,0.000903
"{""67"": 1466}",79.3,5.7,1.815,0.000902
"{""67"": 1467}",79.4,5.7,1.819,0.000901
"{""67"": 1467}",79.5,5.7,1.82,0.0009
"{""67"": 1467}",79.5,5.7,1.82,0.000899
"{""67"": 1467}",79.6,5.7,1.821,0.000898
"{""67"": 1468}",79.7,5.7,1.825,0.000897
"{""67"": 1468}",79.8,5.7,1.826,0.000896
"{""67"": 1468}",79.9,5.7,1.827,0.000895
"{""67"": 1469}",80.0,5.7,1.831,0.000894
"{""67"": 1469}",80.1,5.7,1.832,0.000893
"{""67"": 1469}",80.1,5.7,1.832,0.000892
"{""67"": 1469}",80.2,5.7,1.833,0.000891
"{""67"": 1470}",80.3,5.7,1.837,0.00089
"{""67"": 1470}",80.4,5.7,1.838,0.000889
"{""67"": 1481}",80.5,5.8,1.875,0.000888
"{""67"": 1481}",80.6,5.8,1.876,0.000887
"{""67"": 1481}",80.7,5.8,1.877,0.000886
"{""67"": 1482}",80.8,5.8,1.881,0.000885
"{""67"": 1482}",80.8,5.8,1.881,0.000884
"{""67"": 1482}",80.9,5.8,1.882,0.000883
"{""67"": 1482}",81.0,5.8,1.883,0.000882
"{""67"": 1483}",81.1,5.8,1.887,0.000881
"{""67"": 1483}",81.2,5.8,1.888,0.00088
"{""67"": 1483}",81.3,5.8,1.889,0.000879
"{""67"": 1484}",81.4,5.8,1.893,0.000878
"{""67"": 1484}",81.5,5.8,1.894,0.000877
"{""67"": 1484}",81.6,5.8,1.895,0.000876
"{""67"": 1485}",81.7,5.8,1.899,0.000875
"{""67"": 1485}",81.7,5.8,1.899,0.000874
"{""67"": 1485}",81.8,5.8,1.9,0.000873
"{""67"": 1485}",81.9,5.8,1.901,0.000872
"{""67"": 1496}",82.0,5.9,1.939,0.000871
"{""67"": 1496}",82.1,5.9,1.94,0.00087
"{""67"": 1497}",82.2,5.9,1.944,0.000869
"{""67"": 1497}",82.3,5.9,1.945,0.000868
"{""67"": 1497}",82.4,5.9,1.946,0.000867
"{""67"": 1498}",82.5,5.9,1.95,0.000866
"{""67"": 1498}",82.6,5.9,1.951,0.000865
"{""67"": 1498}",82.6,5.9,1.951,0.000864
"{""67"": 1498}",82.7,5.9,1.952,0.000863
"{""67"": 1499}",82.8,5.9,1.956,0.000862
"{""67"": 1499}",82.9,5.9,1.957,0.000861
"{""67"": 1499}",83.0,5.9,1.958,0.00086
"{""67"": 1500}",83.1,5.9,1.963,0.000859
"{""67"": 1500}",83.2,5.9,1.964,0.000858
"{""67"": 1500}",83.3,5.9,1.965,0.000857
"{""67"": 1511}",83.4,6.0,2.003,0.000856
"{""67"": 1511}",83.5,6.0,2.004,0.000855
"{""67"": 1512}",83.6,6.0,2.009,0.000854
"{""67"": 1512}",83.7,6.0,2.01,0.000853
"{""67"": 1512}",83.8,6.0,2.01,0.000852
"{""67"": 1513}",83.9,6.0,2.015,0.000851
"{""67"": 1513}",84.0,6.0,2.016,0.00085
"{""67"": 1513}",84.1,6.0,2.017,0.000849
"{""67"": 1514}",84.2,6.0,2.021,0.000848
"{""67"": 1514}",84.3,6.0,2.022,0.000847
"{""67"": 1514}",84.3,6.0,2.022,0.000846
"{""67"": 1514}",84.4,6.0,2.023,0.000845
"{""67"": 1515}",84.5,6.0,2.028,0.000844
"{""67"": 1515}",84.7,6.0,2.029,0.000843
"{""67"": 1515}",84.7,6.0,2.029,0.000842
"{""67"": 1526}",84.8,6.1,2.069,0.000841
"{""67"": 1526}",84.9,6.1,2.07,0.00084
"{""67"": 1526}",85.0,6.1,2.071,0.000839
"{""67"": 1527}",85.1,6.1,2.075,0.000838
"{""67"": 1527}",85.2,6.1,2.076,0.000837
"{""67"": 1527}",85.3,6.1,2.077,0.000836
"{""67"": 1528}",85.4,6.1,2.082,0.000835
"{""67"": 1528}",85.5,6.1,2.083,0.000834
"{""67"": 1528}",85.6,6.1,2.084,0.000833
"{""67"": 1529}",85.7,6.1,2.088,0.000832
"{""67"": 1529}",85.8,6.1,2.089,0.000831
"{""67"": 1529}",85.9,6.1,2.09,0.00083
"{""67"": 1530}",86.0,6.1,2.095,0.000829
"{""67"": 1530}",86.1,6.1,2.096,0.000828
"{""67"": 1530}",86.2,6.1,2.097,0.000827
"{""67"": 1541}",86.3,6.2,2.137,0.000826
"{""67"": 1541}",86.4,6.2,2.138,0.000825
"{""67"": 1542}",86.5,6.2,2.143,0.000824
"{""67"": 1542}",86.6,6.2,2.144,0.000823
"{""67"": 1542}",86.7,6.2,2.145,0.000822
"{""67"": 1543}",86.8,6.2,2.149,0.000821
"{""67"": 1543}",86.9,6.2,2.15,0.00082
"{""67"": 1543}",87.0,6.2,2.151,0.000819
"{""67"": 1544}",87.1,6.2,2.156,0.000818
"{""67"": 1544}",87.2,6.2,2.157,0.000817
"{""67"": 1544}",87.3,6.2,2.158,0.000816
"{""67"": 1545}",87.5,6.2,2.163,0.000815
"{""67"": 1545}",87.6,6.2,2.164,0.000814
"{""67"": 1546}",87.7,6.2,2.169,0.000813
"{""67"": 1556}",87.7,6.3,2.206,0.000812
"{""67"": 1556}",87.9,6.3,2.208,0.000811
"{""67"": 1557}",88.0,6.3,2.212,0.00081
"{""67"": 1557}",88.1,6.3,2.213,0.000809
